id,course_id,skill_level,skill_level_jp,purpose,purpose_jp,learn_info,learn_info_jp,outcome,outcome_jp,price,price_jp,price_hk,created_at,updated_at
1,1,Beginner,ビギナー,"Begin your creative journey by learning the core principles of anime-inspired character design. This level introduces facial features, body proportions, simple poses, expressions, and character silhouettes through guided exercises that are easy to follow. You'll gain confidence by creating original characters while understanding the building blocks that make memorable and visually appealing designs.",アニメにインスパイアされたキャラクターデザインのコア原則を学ぶことで、創造的な旅を始めましょう。 このレベルでは、顔の特徴、体のプロポーション、シンプルなポーズ、表情、キャラクターのシルエットを、簡単にフォローできるガイド付きエクササイズで紹介します。 思い出深い、視覚的に魅力的なデザインを作るビルディングブロックを理解しながら、オリジナルの文字を作成することによ,"Learn the essential principles of anime character design by understanding facial proportions, body structure, silhouettes, simple poses, expressions, and basic visual storytelling. Through guided exercises and creative practice, you'll develop confidence in sketching original characters while building a strong artistic foundation that prepares you for more advanced character design techniques.",顔のプロポーション、体の構造、シルエット、シンプルなポーズ、表現、基本的な視覚的なストーリーテリングを理解することによって、アニメのキャラクターデザインの本質的な原則を学びます。 ガイド付きの演習と創造的な練習を通じて、より高度なキャラクターデザイン技術のためにあなたを準備する強力な芸術的基盤を構築しながら、元のキャラクタースケッチに自信を開発します。,"Upon completing this level, you'll confidently create original anime-inspired characters with balanced proportions, expressive facial features, and simple poses. You'll understand the fundamental principles of character construction and visual storytelling, giving you the confidence to transform creative ideas into well-designed characters ready for further artistic development.",このレベルを完了すると、バランスの取れたプロポーション、表情豊かな顔の特徴、シンプルなポーズを備えたオリジナルのアニメ風のキャラクターを自信を持って作成できます。 キャラクター構築とビジュアルストーリーテリングの基本原則を理解し、創造的なアイデアを適切にデザインされたキャラクターに変換し、さらに芸術的な発展の準備ができていることを自信を持って理解できます。,49,7840,392,NULL,NULL
2,1,Intermediate,中級,"Take your character design skills further by exploring anatomy, clothing, hairstyles, personality, and visual storytelling. You'll learn how to develop characters with stronger identities and create designs that communicate emotion and purpose. Practical projects encourage creativity while helping you build consistency and improve your overall design workflow.",解剖学、衣服、髪型、個性、視覚的なストーリーテリングを探索することで、キャラクターデザインのスキルをさらに向上させましょう。 より強いアイデンティティを持つキャラクターを開発し、感情と目的を伝えるデザインを作成する方法を学びます。 実用的なプロジェクトは一貫性を造り、あなたの全面的な設計ワークフローを改善するのを助けている間創造性を励ます。,"Expand your character design skills by creating more expressive and visually engaging characters with improved anatomy, clothing, hairstyles, color choices, and personality. You'll explore creative workflows, refine your design process, and learn how every visual element contributes to stronger storytelling while producing complete original character concepts.",より表現力豊かで視覚的に魅力的なキャラクターを作成し、解剖学、衣服、髪型、色の選択、個性を向上させることで、キャラクターデザインのスキルを拡大してください。 クリエイティブなワークフローを探索し、デザインプロセスを洗練し、すべてのビジュアル要素が完全なオリジナルキャラクターのコンセプトを作成しながら、より強力なストーリーテリングにどのように貢献するかを学びます。,"After finishing this level, you'll be able to design expressive characters with stronger anatomy, engaging personalities, thoughtful costumes, and improved visual storytelling. You'll confidently develop complete character concepts while applying creative workflows that result in more polished and visually appealing designs.",このレベルを終えた後、あなたはより強い解剖学、魅力的な個性、思慮深い衣装、そして改善された視覚的なストーリーテリングで表現力豊かなキャラクターをデザインすることができるでしょう。 創造的なワークフローを適用しながら、自信を持って完全なキャラクターコンセプトを開発し、より洗練された視覚的に魅力的なデザインになります。,99,15840,792,NULL,NULL
3,1,Advanced,アドバンスド,"Refine your artistic approach by creating polished character concept sheets and exploring multiple design variations. This level focuses on professional design techniques, stronger compositions, and thoughtful artistic decisions that transform simple concepts into high-quality character artwork suitable for portfolio development.",洗練されたキャラクターコンセプトシートを作成し、複数のデザインバリエーションを探索することで、芸術的なアプローチを洗練してください。 このレベルでは、プロのデザイン技術、より強力な構成、およびポートフォリオ開発に適した高品質のキャラクターアートワークに単純な概念を変換する思慮深い芸術的な決定に焦点を当てています。,"Master professional character design techniques by refining silhouettes, expressions, costume details, proportions, and presentation methods. This level focuses on producing polished concept sheets, exploring multiple design variations, and strengthening your artistic style while creating portfolio-quality artwork suitable for illustration, comics, and entertainment design.",シルエット、表情、衣装の詳細、プロポーション、プレゼンテーション方法を洗練することにより、プロのキャラクターデザインテクニックをマスターします。 このレベルでは、洗練されたコンセプトシートを作成し、複数のデザインバリエーションを探索し、イラスト、コミック、エンターテイメントデザインに適したポートフォリオ品質のアートワークを作成しながら、芸術的スタイルを強化することに焦点を当てています。,"By successfully completing this level, you'll produce professional-quality character concept sheets featuring refined designs, multiple variations, and consistent visual presentation. You'll confidently apply advanced design techniques while creating portfolio-worthy artwork that demonstrates both creativity and technical ability.",このレベルを正常に完了することで、洗練されたデザイン、複数のバリエーション、一貫した視覚的なプレゼンテーションを備えたプロ品質のキャラクタコンセプトシートを作成します。 創造性と技術力の両方を発揮するポートフォリオにふさわしいアートワークを作成しながら、高度なデザイン技術を自信を持って適用します。,179,28640,1432,NULL,NULL
4,1,Expert,専門家,"Bring everything together by completing a comprehensive character design project from initial concept to final presentation. You'll produce professional character sheets, expression studies, costume variations, and finished illustrations while developing a workflow that reflects industry expectations and showcases your creative abilities.",最初のコンセプトから最終プレゼンテーションまで、包括的なキャラクターデザインプロジェクトを完了することで、すべてを一緒に持って来ます。 プロのキャラクターシート、表現研究、衣装バリエーション、完成したイラストを制作しながら、業界の期待を反映し、創造力を発揮するワークフローを開発します。,"Apply everything you've learned to complete a professional character design project from concept development to final presentation. You'll demonstrate creative thinking, technical accuracy, visual storytelling, and presentation skills while producing a comprehensive character package that showcases your readiness for advanced creative projects and professional portfolio development.",あなたが学んだすべてを適用して、コンセプト開発から最終的なプレゼンテーションにプロのキャラクターデザインプロジェクトを完了します。 創造的思考、技術的な正確さ、視覚的なストーリーテリング、プレゼンテーションスキルを発揮しながら、高度なクリエイティブプロジェクトとプロのポートフォリオ開発の準備ができていることを示す包括的なキャラクターパッケージを作成します。,"At the end of this level, you'll independently create complete character design projects from concept to final presentation. You'll demonstrate professional creative workflows, polished presentation skills, and the ability to produce industry-inspired character artwork suitable for personal portfolios and advanced creative opportunities.",このレベルの終わりには、コンセプトから最終プレゼンテーションまでの完全なキャラクターデザインプロジェクトを独立して作成します。 プロのクリエイティブワークフロー、洗練されたプレゼンテーションスキル、および個人のポートフォリオや高度なクリエイティブな機会に適した業界に触発されたキャラクターアートワークを制作する能力を実演します。,299,47840,2392,NULL,NULL
5,2,Beginner,ビギナー,"Build a strong understanding of the human body by learning essential anatomy, proportions, and figure construction through structured lessons and practical exercises. This level focuses on creating natural poses and improving observation skills, helping you draw characters with greater confidence and accuracy from the very beginning.",構造化されたレッスンと実践的な演習を通じて、本質的な解剖学、プロポーション、および図の構造を学ぶことによって、人体の強力な理解を構築します。 このレベルは、自然なポーズを作成し、観察スキルを向上させることに焦点を当てており、最初から自信と正確さを持ってキャラクターを描くのに役立ちます。,"Develop a strong understanding of human anatomy by studying body proportions, skeletal structure, muscle placement, and natural movement. Through guided drawing exercises, you'll improve observation skills, create balanced figures, and gain the confidence needed to draw believable characters from different angles and simple poses.",体のプロポーション、骨格構造、筋肉の配置、自然な動きを研究することによって、人体の解剖学の強力な理解を開発します。 ガイド付きの描画演習を通じて、観察スキルを向上させ、バランスの取れた図形を作成し、さまざまな角度やシンプルなポーズから信じられない文字を描,"Upon completing this level, you'll confidently draw the human figure using correct proportions, simple anatomy, and natural body movement. You'll have a solid understanding of figure construction that allows you to create balanced and believable character sketches from multiple viewpoints.",このレベルを完了すると、正しい比率、単純な解剖学的構造、自然な体の動きを使用して、自信を持って人間の姿を描きます。 あなたは、複数の視点からバランスのとれた、信じられないキャラクターのスケッチを作成することができます図の構造の固体理解を持っています。,49,7840,392,NULL,NULL
6,2,Intermediate,中級,"Expand your knowledge of anatomy by studying movement, gestures, balance, and dynamic poses. You'll practice drawing characters in action while improving flexibility, proportions, and body mechanics. These lessons help create more expressive figures that feel natural and believable across different artistic styles.",動き、ジェスチャー、バランス、および動的なポーズを研究することにより、解剖学の知識を拡大します。 柔軟性、プロポーション、体の仕組みを改善しながら、実際にキャラクターを描く練習をします。 これらのレッスンは異なった功妙な様式を渡って自然、信じられる感じるより表現力豊かな図を作成するのを助ける。,"Strengthen your anatomy knowledge by exploring dynamic poses, body mechanics, gestures, and expressive movement. You'll learn how muscles and proportions work together to create realistic figures while improving the flexibility and accuracy of your character illustrations through practical creative assignments.",ダイナミックなポーズ、身体の仕組み、ジェスチャー、表現力豊かな動きを探索することで、解剖学の知識を強化します。 筋肉とプロポーションがどのように連携してリアルなフィギュアを作成するかを学び、実用的なクリエイティブな割り当てを通じてキャラクタイラストの柔軟性と精度を向上させます。,"After completing this level, you'll confidently illustrate dynamic poses, expressive gestures, and realistic body movement while applying stronger anatomical knowledge. Your figures will demonstrate improved balance, flexibility, and natural motion across a variety of creative projects.",このレベルを完了すると、より強力な解剖学的知識を適用しながら、ダイナミックなポーズ、表現力豊かなジェスチャー、リアルな体の動きを自信を持っ あなたの図はいろいろ創造的なプロジェクトを渡る改善されたバランス、柔軟性および自然な動きを示す。,99,15840,792,NULL,NULL
7,2,Advanced,アドバンスド,"Strengthen your technical skills through advanced anatomy studies that explore foreshortening, muscle structure, body mechanics, and complex poses. Larger projects challenge you to combine accuracy with creativity while developing professional-level figure drawing techniques that enhance storytelling and illustration quality.",短縮、筋肉構造、身体力学、複雑なポーズを探求する高度な解剖学的研究を通じて、あなたの技術的スキルを強化します。 大規模なプロジェクトでは、ストーリーテリングとイラストの品質を向上させるプロレベルの図形描画技術を開発しながら、正確さと創造性を組み合,"Advance your anatomy skills by mastering complex poses, foreshortening, body balance, and movement under different perspectives. Through detailed figure studies and larger projects, you'll refine your technical abilities while producing expressive artwork that demonstrates confidence and professional-level understanding of the human form.",複雑なポーズ、短縮、体のバランス、さまざまな視点の下での動きを習得することで、解剖学のスキルを向上させます。 詳細な図の研究や大規模なプロジェクトを通じて、あなたは人間の形の自信とプロレベルの理解を示す表現力豊かなアートワークを生産しながら、あなたの技術的能力を洗練します。,"By the end of this level, you'll accurately draw complex poses, challenging perspectives, and detailed anatomical structures with greater precision. You'll produce polished figure studies that demonstrate advanced technical ability and strengthen the overall quality of your illustrations.",このレベルの終わりまでに、複雑なポーズ、挑戦的な視点、詳細な解剖学的構造をより正確に描くことができます。 高度の技術的な能力を示し、あなたの実例の全面的な質を増強する磨かれた図調査を作り出す。,179,28640,1432,NULL,NULL
8,2,Expert,専門家,"Complete a series of portfolio-ready figure studies that demonstrate your mastery of anatomy, movement, and dynamic posing. This level emphasizes confident draftsmanship, expressive character movement, and refined artistic execution while preparing you for advanced illustration, comics, animation, and concept art projects.",解剖学、動き、および動的姿勢のあなたの支配を示す一連の有価証券準備ができた図調査を完了しなさい。 このレベルでは、高度なイラスト、コミック、アニメーション、コンセプトアートプロジェクトの準備をしながら、自信を持って製図、表現力豊かなキャラクターの動き、洗練された芸術的な実行を強調しています。,"Demonstrate your anatomy expertise by completing polished figure studies and action-based character illustrations that showcase realistic proportions, dynamic movement, and expressive posing. This level prepares you to confidently create portfolio-ready artwork suitable for illustration, comics, animation, and concept art.",リアルなプロポーション、ダイナミックな動き、表現力豊かなポーズを披露する、洗練されたフィギュアスタディとアクションベースのキャラクタイラストを完成させることで、解剖学の専門知識を実証してください。 このレベルでは、イラスト、コミック、アニメーション、コンセプトアートに適したポートフォリオ対応のアートワークを自信を持って作成できます。,"Successfully completing this level enables you to create professional-quality anatomy studies and dynamic character illustrations suitable for concept art, comics, animation, and portfolio presentation. You'll confidently apply advanced figure drawing techniques to a wide range of creative projects.",このレベルを正常に完了すると、コンセプトアート、コミック、アニメーション、ポートフォリオプレゼンテーションに適したプロ品質の解剖学的研究と動 あなたは自信を持って創造的なプロジェクトの広い範囲に高度な図形描画技術を適用します。,299,47840,2392,NULL,NULL
9,3,Beginner,ビギナー,"Discover how clothing, hairstyles, accessories, and color choices influence a character's personality and identity. You'll learn the fundamentals of costume design while experimenting with different styles, silhouettes, and visual themes to create appealing characters that feel original and believable.",服、髪型、アクセサリー、色の選択がキャラクターの個性とアイデンティティにどのように影響するかを発見してください。 コスチュームデザインの基礎を学びながら、さまざまなスタイル、シルエット、ビジュアルテーマを試して、オリジナルで信じられないような魅力的なキャ,"Explore the fundamentals of costume and character styling by learning how clothing, hairstyles, accessories, and color choices shape personality and visual identity. Through creative exercises, you'll design simple outfits that complement different characters while developing an understanding of style, balance, and visual storytelling.",服、髪型、アクセサリー、色の選択が人格と視覚的アイデンティティをどのように形作るかを学ぶことによって、衣装とキャラクターのスタイ 創造的な演習を通じて、スタイル、バランス、視覚的なストーリーテリングの理解を開発しながら、異なる文字を補完するシンプルな衣装を設計します。,"Upon completing this level, you'll confidently design simple costumes, hairstyles, and accessories that enhance character personality and storytelling. You'll understand how visual styling supports character identity while creating balanced and visually appealing outfit concepts.",このレベルを完了すると、キャラクターの個性とストーリーテリングを高めるシンプルな衣装、ヘアスタイル、アクセサリーを自信を持ってデザインします。 バランスのとれた視覚的に魅力的な衣装の概念を作成しながら、視覚的なスタイリングがキャラクタアイデンティティをどのようにサポートするか,49,7840,392,NULL,NULL
10,3,Intermediate,中級,"Expand your costume design skills by exploring fabrics, fashion inspiration, layered outfits, cultural influences, and accessories. Through creative projects, you'll develop complete character wardrobes that enhance storytelling while building confidence in designing visually cohesive and memorable character styles.",生地、ファッションのインスピレーション、層状の衣装、文化的影響、アクセサリーを探索することによって、あなたの衣装のデザインのスキルを拡大します。 クリエイティブなプロジェクトを通じて、ストーリーテリングを強化する完全なキャラクターワードローブを開発し、視覚的にまとまりのある思い出に残るキャ,"Build stylish and believable character wardrobes by experimenting with fashion inspiration, layered clothing, materials, accessories, and design themes. You'll learn how costumes communicate personality and genre while creating visually engaging outfits that strengthen the overall appeal of your original characters.",ファッションのインスピレーション、レイヤード服、素材、アクセサリー、デザインテーマを試して、スタイリッシュで信じられないキャラクターのワードローブを構築します。 オリジナルキャラクターの全体的な魅力を強化する視覚的に魅力的な衣装を作成しながら、衣装が個性やジャンルをどのように伝えるかを学びます。,"After finishing this level, you'll create complete character wardrobes with thoughtful fashion choices, layered clothing, and expressive styling. You'll confidently combine colors, materials, and accessories to design memorable costumes that strengthen the overall impact of your character artwork.",このレベルを終えた後、思慮深いファッションの選択肢、層状の服、表現力豊かなスタイリングを備えた完全なキャラクターワードローブを作成します。 色、素材、アクセサリーを自信を持って組み合わせて、キャラクターアートワークの全体的な影響を強化する思い出に残る衣装をデザインします。,99,15840,792,NULL,NULL
